item
S+(Low),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANDERSON VLY CA UNIF SCH DIST,Self Rep. Gr. : Not labelled,BB_rating : Not_Rated,Issuer Sector : School District,Call : Non-callable,Market : GENERAL OBLIGATION UNLTD,UOP : SCHOOL IMPS.,FIN. TYP : NEW MONEY,CPN : 5_8.5(%),S OID : Higher than 100,DU_Adj_MID :  Less than 2.8,Y_OID : Higher than 3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID : 12.3_17,Active years : Higher than 4.1,R Ys to Maturity :  Less than 4.7
S+(Low),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANDERSON VLY CA UNIF SCH DIST,Self Rep. Gr. : Not labelled,BB_rating : Not_Rated,Issuer Sector : School District,Call : Non-callable,Market : GENERAL OBLIGATION UNLTD,UOP : SCHOOL IMPS.,FIN. TYP : NEW MONEY,CPN : 5_8.5(%),S OID : Higher than 100,DU_Adj_MID :  Less than 2.8,Y_OID : Higher than 3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID : 12.3_17,Active years : Higher than 4.1,R Ys to Maturity :  Less than 4.7
S+(Extreme),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANDERSON VLY CA UNIF SCH DIST,Self Rep. Gr. : Not labelled,BB_rating : Not_Rated,Issuer Sector : School District,Call : Non-callable,Market : GENERAL OBLIGATION UNLTD,UOP : SCHOOL IMPS.,FIN. TYP : NEW MONEY,CPN : 5_8.5(%),S OID : Higher than 100,DU_Adj_MID :  Less than 2.8,Y_OID : Higher than 3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID : 12.3_17,Active years : Higher than 4.1,R Ys to Maturity : 4.7_9.4
S+(Extreme),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANDERSON VLY CA UNIF SCH DIST,Self Rep. Gr. : Not labelled,BB_rating : Not_Rated,Issuer Sector : School District,Call : Non-callable,Market : GENERAL OBLIGATION UNLTD,UOP : SCHOOL IMPS.,FIN. TYP : NEW MONEY,CPN : 5_8.5(%),S OID : Higher than 100,DU_Adj_MID : 2.8_4.8,Y_OID : Higher than 3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID : 12.3_17,Active years : Higher than 4.1,R Ys to Maturity : 4.7_9.4
S+(Extreme),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANDERSON VLY CA UNIF SCH DIST,Self Rep. Gr. : Not labelled,BB_rating : Not_Rated,Issuer Sector : School District,Call : Non-callable,Market : GENERAL OBLIGATION UNLTD,UOP : SCHOOL IMPS.,FIN. TYP : NEW MONEY,CPN : 5_8.5(%),S OID : Higher than 100,DU_Adj_MID : 2.8_4.8,Y_OID : Higher than 3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID : 12.3_17,Active years : Higher than 4.1,R Ys to Maturity : 4.7_9.4
S+(Extreme),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANTELOPE VLY-E KERN CA WTR AGY FING AUTH REVENUE,Self Rep. Gr. : Not labelled,BB_rating : Not_Rated,Issuer Sector : Water,Call : Non-callable,Market : REVENUE BONDS,UOP : WATER UTILITY IMPS.,FIN. TYP : NEW MONEY,CPN : 0_3(%),S OID : 57_100,DU_Adj_MID : NA,Y_OID : 2.4_3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID :  Less than 8,Active years : 2.3_4.1,R Ys to Maturity :  Less than 4.7
S+(Extreme),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANTELOPE VLY-E KERN CA WTR AGY FING AUTH REVENUE,Self Rep. Gr. : Not labelled,BB_rating : Not_Rated,Issuer Sector : Water,Call : Non-callable,Market : REVENUE BONDS,UOP : WATER UTILITY IMPS.,FIN. TYP : NEW MONEY,CPN : 0_3(%),S OID : 57_100,DU_Adj_MID : NA,Y_OID : 2.4_3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID :  Less than 8,Active years : 2.3_4.1,R Ys to Maturity :  Less than 4.7
S+(Extreme),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANTELOPE VLY-E KERN CA WTR AGY FING AUTH REVENUE,Self Rep. Gr. : Not labelled,BB_rating : Not_Rated,Issuer Sector : Water,Call : Non-callable,Market : REVENUE BONDS,UOP : WATER UTILITY IMPS.,FIN. TYP : NEW MONEY,CPN : 0_3(%),S OID : 57_100,DU_Adj_MID : NA,Y_OID : 2.4_3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID :  Less than 8,Active years : 2.3_4.1,R Ys to Maturity :  Less than 4.7
S+(Low),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANTELOPE VLY-E KERN CA WTR AGY FING AUTH REVENUE,Self Rep. Gr. : Not labelled,BB_rating : AA-,Issuer Sector : Water,Call : Non-callable,Market : REVENUE BONDS,UOP : WATER UTILITY IMPS.,FIN. TYP : NEW MONEY,CPN : 3_5(%),S OID : Higher than 100,DU_Adj_MID :  Less than 2.8,Y_OID : Higher than 3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID :  Less than 8,Active years : 2.3_4.1,R Ys to Maturity :  Less than 4.7
S+(Low),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANTELOPE VLY-E KERN CA WTR AGY FING AUTH REVENUE,Self Rep. Gr. : Not labelled,BB_rating : AA-,Issuer Sector : Water,Call : Non-callable,Market : REVENUE BONDS,UOP : WATER UTILITY IMPS.,FIN. TYP : NEW MONEY,CPN : 3_5(%),S OID : Higher than 100,DU_Adj_MID :  Less than 2.8,Y_OID : Higher than 3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID : 8_12.3,Active years : 2.3_4.1,R Ys to Maturity :  Less than 4.7
S+(Extreme),Tax : FED TAXABLE/ST TAX-EXEMPT,Issuer Name : ANTELOPE VLY-E KERN CA WTR AGY FING AUTH REVENUE,Self Rep. Gr. : Not labelled,BB_rating : AA-,Issuer Sector : Water,Call : Non-callable,Market : REVENUE BONDS,UOP : WATER UTILITY IMPS.,FIN. TYP : NEW MONEY,CPN : 3_5(%),S OID : Higher than 100,DU_Adj_MID :  Less than 2.8,Y_OID : Higher than 3.2,Pricing TYP : At Par,Issued Amt : Less than 14,Muni Issued Size : Less than 17,Maturity OID : 8_12.3,Active years : 2.3_4.1,R Ys to Maturity : 4.7_9.4
